date;Location;commodity;unit;price_UAH;price_USD
15.03.2014;Odesa;Eggs;10 pcs;9.52;0.9103
15.04.2014;Odesa;Eggs;10 pcs;7.46;0.5771
15.09.2014;Odesa;Eggs;10 pcs;11.74;0.9236
15.10.2014;Odesa;Eggs;10 pcs;13.1;1.0345
15.11.2014;Odesa;Eggs;10 pcs;13.48;0.9659
15.12.2014;Odesa;Eggs;10 pcs;14.68;0.9481
15.01.2015;Odesa;Eggs;10 pcs;14.53;0.946
15.02.2015;Odesa;Eggs;10 pcs;14.38;0.6428
15.03.2015;Odesa;Eggs;10 pcs;14.24;0.5548
15.04.2015;Odesa;Eggs;10 pcs;12.79;0.5679
15.05.2015;Odesa;Eggs;10 pcs;15.42;0.7609
15.06.2015;Odesa;Eggs;10 pcs;14.46;0.6961
15.07.2015;Odesa;Eggs;10 pcs;12.99;0.5971
15.08.2015;Odesa;Eggs;10 pcs;14.65;0.6844
15.09.2015;Odesa;Eggs;10 pcs;17.03;0.7849
15.10.2015;Odesa;Eggs;10 pcs;18.47;0.87
15.11.2015;Odesa;Eggs;10 pcs;21.0;0.8978
15.12.2015;Odesa;Eggs;10 pcs;24.19;1.0305
15.02.2016;Odesa;Eggs;10 pcs;14.7;0.5664
15.04.2016;Odesa;Eggs;10 pcs;9.7;0.3833
15.07.2016;Odesa;Eggs;10 pcs;12.87;0.526
15.10.2016;Odesa;Eggs;10 pcs;22.01;0.8562
15.11.2016;Odesa;Eggs;10 pcs;19.49;0.7608
15.12.2016;Odesa;Eggs;10 pcs;19.94;0.756
15.01.2017;Odesa;Eggs;10 pcs;19.27;0.7097
15.02.2017;Odesa;Eggs;10 pcs;14.16;0.524
15.03.2017;Odesa;Eggs;10 pcs;13.55;0.5081
15.04.2017;Odesa;Eggs;10 pcs;10.04;0.3753
15.05.2017;Odesa;Eggs;10 pcs;9.1;0.3492
15.06.2017;Odesa;Eggs;10 pcs;12.83;0.4983
15.07.2017;Odesa;Eggs;10 pcs;10.31;0.3964
15.12.2017;Odesa;Eggs;10 pcs;25.39;0.9297
15.01.2019;Odesa;Eggs;10 pcs;23.84;0.8581
15.02.2019;Odesa;Eggs;10 pcs;22.86;0.8458
15.03.2019;Odesa;Eggs;10 pcs;21.87;0.8212
15.05.2019;Odesa;Eggs;10 pcs;15.79;0.6084
15.07.2019;Odesa;Eggs;10 pcs;12.85;0.5055
15.10.2019;Odesa;Eggs;10 pcs;19.09;0.783
15.11.2019;Odesa;Eggs;10 pcs;19.27;0.8042
15.12.2019;Odesa;Eggs;10 pcs;19.57;0.82
15.01.2020;Odesa;Eggs;10 pcs;19.81;0.8336
15.02.2020;Odesa;Eggs;10 pcs;15.82;0.6396
15.04.2020;Odesa;Eggs;10 pcs;15.28;0.568
15.06.2020;Odesa;Eggs;10 pcs;17.92;0.677
15.08.2020;Odesa;Eggs;10 pcs;15.97;0.5789
15.09.2020;Odesa;Eggs;10 pcs;17.1;0.6164
15.10.2020;Odesa;Eggs;10 pcs;21.09;0.751
15.11.2020;Odesa;Eggs;10 pcs;22.73;0.7989
15.12.2020;Odesa;Eggs;10 pcs;26.05;0.9434
15.02.2021;Odesa;Eggs;10 pcs;31.28;1.1324
15.03.2021;Odesa;Eggs;10 pcs;30.33;1.1074
15.05.2021;Odesa;Eggs;10 pcs;23.36;0.8455
15.06.2021;Odesa;Eggs;10 pcs;19.07;0.7128
15.07.2021;Odesa;Eggs;10 pcs;19.93;0.7375
15.08.2021;Odesa;Eggs;10 pcs;23.95;0.8912
15.10.2021;Odesa;Eggs;10 pcs;29.35;1.1237
15.11.2021;Odesa;Eggs;10 pcs;29.45;1.1369
15.01.2022;Odesa;Eggs;10 pcs;33.43;1.1936
15.02.2022;Odesa;Eggs;10 pcs;31.23;1.1047
15.03.2022;Odesa;Eggs;10 pcs;32.05;1.1014
15.04.2022;Odesa;Eggs;10 pcs;23.48;0.8061
15.05.2022;Odesa;Eggs;10 pcs;16.12;0.551
15.07.2022;Odesa;Eggs;10 pcs;21.81;0.7463
15.08.2022;Odesa;Eggs;10 pcs;25.93;0.7078
15.09.2022;Odesa;Eggs;10 pcs;32.5;0.8872
15.10.2022;Odesa;Eggs;10 pcs;55.39;1.5147
15.12.2022;Odesa;Eggs;10 pcs;59.29;1.617
15.01.2023;Odesa;Eggs;10 pcs;62.19;1.7006
15.02.2023;Odesa;Eggs;10 pcs;59.75;1.6387
15.03.2023;Odesa;Eggs;10 pcs;61.12;1.6765
15.05.2023;Odesa;Eggs;10 pcs;38.61;1.0566
15.06.2023;Odesa;Eggs;10 pcs;38.38;1.0469
15.11.2023;Odesa;Eggs;10 pcs;46.99;1.304
